,0
642,235.300003
643,238.699997
644,240.899994
645,237.5
646,238.199997
647,248.199997
648,254.0
649,252.800003
650,262.5
651,272.5
652,269.399994
653,265.600006
654,271.5
655,271.0
656,275.399994
657,266.399994
658,263.0
659,261.399994
660,263.200012
661,259.799988
662,264.299988
663,266.600006
664,271.100006
665,269.0
666,267.700012
667,265.799988
668,270.700012
669,275.5
670,270.600006
671,268.5
672,267.5
673,276.0
674,276.0
675,269.799988
676,271.5
677,271.200012
678,269.299988
679,272.200012
680,272.200012
681,264.399994
682,259.700012
683,255.0
684,258.600006
685,261.5
686,259.299988
687,261.600006
688,261.0
689,260.899994
690,260.299988
691,258.799988
692,259.100006
693,266.899994
694,263.799988
695,262.100006
696,264.200012
697,266.899994
698,266.700012
699,266.399994
700,260.399994
701,266.0
702,268.700012
703,271.700012
704,270.0
705,277.399994
706,277.899994
707,275.899994
708,282.700012
709,284.899994
710,287.5
711,286.899994
712,291.0
713,292.200012
714,289.0
715,289.600006
716,293.799988
717,296.5
